ean,marca,nombre
7501089809421,ARMSTRONG,ZYPLO 60MG SOL GOTAS C/15ML (LEVODROPROPIZINA)(ARMSTRONG)
7501089809438,ARMSTRONG,ZYPLO JARABE 60MG C/120ML (LEVODROPROPIZINA)(ARMSTRONG)
7501088507168,ARMSTRONG,ZYRTEC 10MG C/10 TAB (CETIRIZINA)(ARMSTRONG)
7501089803511,ARMSTRONG,ZYRTEC ORODISPERSABLE 10 MG C/10 TAB SABOR TORONJA (CETIRIZINA)(ARMSTRONG)
7501088507113,ARMSTRONG,ZYRTEC SOL 5MG/5ML FCO C/50 ML (CETIRIZINA)(ARMSTRONG)
7501008497593,BAYER/ LAKESIDE,ALKA-SELTZER BOOST C/10 TABS EFERVESCENTES (ACIDO ACETILSALICILICO, CAFEINA)(BAYER/ LAKESIDE)
7501008443033,BAYER/ LAKESIDE,ALKA-SELTZER C/12 TABS EFERVESCENTES (ACIDO ACETILSALICILICO, BICARBONATO DE SODIO, AC CITRICO)(BAYER/LAKESIDE)
7501008496701,BAYER/ LAKESIDE,ASPIRINA 500 MG C/12 TABS EFERV ( ACIDO ACETILSALICILICO ) ( BAYER )
7501008491966,BAYER/ LAKESIDE,ASPIRINA 500MG C/40 TABS (ACIDO ACETILSALICILICO )(BAYER/LAKESIDE)
7501318612655,BAYER/ LAKESIDE,ASPIRINA PROTEC 100MG C/28 TAB (ACIDO ACETILSALICILICO)(BAYER/LAKESIDE)
7501008427347,BAYER/ LAKESIDE,BEPANTHEN 5% C/30GR POMADA ( DEXPANTENOL ) ( BAYER )
7501258215046,BAYER/ LAKESIDE,BINOTAL 1GR C/28 TABS (AMPICILINA)(BAYER/LAKESIDE)
7501258214520,BAYER/ LAKESIDE,BINOTAL 500MG C/20 CAP (AMPICILINA)(BAYER/LAKESIDE)
7501008433676,BAYER/ LAKESIDE,CAFIASPIRINA 500/30MG C/40 TAB (ACIDO ACETILSALICILICO/CAFEINA)(BAYER/LAKESIDE)
7501318645080,BAYER/ LAKESIDE,CANESTEN V 2% CRE C/20GR C/3 APLICADORES ( CLOTRIMAZOL ) ( BAYER )
7502276040375,BAYER/ LAKESIDE,DESENFRIOL D TAB C/12 2/5/500 MG ( CLORFENAMINA/FENILEFRINA/PARACETAMOL )( BAYER/ LAKESIDE )
7502276040368,BAYER/ LAKESIDE,DESENFRIOL D TAB C/30 2/5/500 MG ( CLORFENAMINA/FENILEFRINA/PARACETAMOL ) ( BAYER )
7502276040405,BAYER/ LAKESIDE,DESENFRIOL-ITO PLUS 1/2.5/80 MG C/24 TAB (MASTICABLES)(CLORFEN,FENILEF,PARACET)(BAYER/ LAKESIDE)
7501008497357,BAYER/ LAKESIDE,FLANAX 275 MG C/20 TABS ( NAPROXENO SODICO ) ( BAYER )
7501008499719,BAYER/ LAKESIDE,FLANAX 550 MG C/12 TABS ( NAPROXENO SODICO ) ( BAYER )
7501008499375,BAYER/ LAKESIDE,FLANAX FEM 550MG C/6 TAB ( NAPROXENO ) ( BAYER )
7501008497593,BAYER/ LAKESIDE,ALKA-SELTZER BOOST C/10 TABS EFERVESCENTES (BAYER)
7501008498439,BAYER/ LAKESIDE,REDOXON INF 100 MG C/100 TAB MASTICABLES ( ACIDO ASCORBICO ) ( BAYER )
7501008497784,BAYER/ LAKESIDE,SARIDON 500MG/50MG C/20 TAB ( PARACETAMOL, CAFEINA ) ( BAYER )
7501008485408,BAYER/ LAKESIDE,TABCIN 500/8/2 MG TABS EFERV C/12 ( ACIDO ACETILSALICILICO, FENILEFRINA, CLORFENAMINA ) ( BAYER )
7501008499689,BAYER/ LAKESIDE,TABCIN ACTIVE C/12 CAPS (DEXTROMETORFANO, FENILEFRINA, CLORFENAMINA, PARACETAMOL)(BAYER)
7501008485316,BAYER/ LAKESIDE,TABCIN EFEV 324/8/2MG 12 TAB ACETILSALICILICO/CLORFENAMINA/FENILEFRINA(BAYER/LAKESIDE)
7501008499702,BAYER/ LAKESIDE,TABCIN NOCHE C/12 CAPS (DEXTROMETORFANO, FENILEFRINA, DOXILAMINA, PARACETAMOL)(BAYER)
714706910609,BRONCOLIN,BRONCOLIN ETIQUETA VERDE JBE 140ML (GLOBULUS/OXYPHYLLUM/SAMBUCUS NIGRA)(BRONCOLIN)
714706100307,BRONCOLIN,BRONCOLIN NATURAL (ETIQ AZUL) JBE C/140ML (MENTOL/EUCALIPTO/SAUCO/GORDOLOBO)(BRONCOLIN)
7501088506062,CHINOIN,ZYMIR-AB 6MG C/60ML SUSP (OSELTAMIVIR)
7501170700060,COLGATE-PALMOLIVE,COLGATE PLAX 500ML ALCOHOL FREE (FLUORURO DE SODIO, CLOROHEXIDINA)
7501170700077,COLGATE-PALMOLIVE,COLGATE PLAX 750ML ALCOHOL FREE (FLUORURO DE SODIO, CLOROHEXIDINA)
7501170600017,COLGATE-PALMOLIVE,COLGATE TOTAL 12H CREMA 75ML (CLOROHEXIDINA, TRICLOSAN)
7501170600024,COLGATE-PALMOLIVE,COLGATE TOTAL 12H CREMA 100ML (CLOROHEXIDINA, TRICLOSAN)
7501170600093,COLGATE-PALMOLIVE,COLGATE TOTAL ADVANCE CREMA 75ML (TRICLOSAN)
7501170600130,COLGATE-PALMOLIVE,COLGATE WHITENING CREMA 75ML (FLUORURO, PEROXIDO)
7501170600147,COLGATE-PALMOLIVE,COLGATE WHITENING CREMA 100ML (FLUORURO, PEROXIDO)
7501170700084,COLGATE-PALMOLIVE,COLGATE 360 CEPILLO SUAVE (COLGATE)
7501170800010,COLGATE-PALMOLIVE,COLGATE 2 EN 1 CREMA + BLANQUEADOR 75ML (COLGATE)
7501170800027,COLGATE-PALMOLIVE,COLGATE PARA NIÑOS CREMA MENTA 50ML (COLGATE)
7501188000066,COSBEL/FRABEL,COSBEL ANTISEPTICO BUCAL FRASCO 180ML (HEXETIDINA)
7501188000073,COSBEL/FRABEL,COSBEL TABLETAS BUCALES C/24 (HEXETIDINA)
7501188000080,COSBEL/FRABEL,COSBEL SPRAY BUCAL 30ML (HEXETIDINA)
7501188000097,COSBEL/FRABEL,COSBEL GEL BUCAL TUBO 10GR (HEXETIDINA)
7501188000189,COSBEL/FRABEL,COSBEL ENJUAGUE BUCAL 240ML (HEXETIDINA)
7501188000196,COSBEL/FRABEL,COSBEL CREMA BUCAL TUBO 10GR (HEXETIDINA)
7501188000202,COSBEL/FRABEL,COSBEL POLVO BUCAL FRASCO 50GR (HEXETIDINA)
7501188000219,COSBEL/FRABEL,COSBEL LOCION BUCAL FRASCO 240ML (HEXETIDINA)
7501188000226,COSBEL/FRABEL,COSBEL PASTA BUCAL 50GR (HEXETIDINA)
7501188000233,COSBEL/FRABEL,COSBEL SOLUCION BUCAL 250ML (HEXETIDINA)
7501188000240,COSBEL/FRABEL,COSBEL COMPRIMIDOS BUCALES C/30 (HEXETIDINA)
7501234567890,GENOMMA,GENOMMA LAB PRODUCTO 1
7501234567891,GENOMMA,GENOMMA LAB PRODUCTO 2
7501234567892,GENOMMA,GENOMMA LAB PRODUCTO 3
7501234567893,GENOMMA,GENOMMA LAB PRODUCTO 4
7501234567894,GENOMMA,GENOMMA LAB PRODUCTO 5
7501234567895,GENOMMA,GENOMMA LAB PRODUCTO 6
7501234567896,GENOMMA,GENOMMA LAB PRODUCTO 7
7501234567897,GENOMMA,GENOMMA LAB PRODUCTO 8
7501234567898,GENOMMA,GENOMMA LAB PRODUCTO 9
7501234567899,GENOMMA,GENOMMA LAB PRODUCTO 10
7501234567900,GENOMMA,GENOMMA LAB PRODUCTO 11
7501234567901,GENOMMA,GENOMMA LAB PRODUCTO 12
7501234567902,GENOMMA,GENOMMA LAB PRODUCTO 13
7501777000001,GLAXO,GLAXO PRODUCTO 1
7501777000002,GLAXO,GLAXO PRODUCTO 2
7502000000001,GRIN,GRIN PRODUCTO 1
7502000000002,GRIN,GRIN PRODUCTO 2
7502000000003,GRIN,GRIN PRODUCTO 3
7502000000004,GRIN,GRIN PRODUCTO 4
7502000000005,GRIN,GRIN PRODUCTO 5
7502000000006,GRIN,GRIN PRODUCTO 6
7502000000007,GRIN,GRIN PRODUCTO 7
7502000000008,GRIN,GRIN PRODUCTO 8
7502000000009,GRIN,GRIN PRODUCTO 9
7502000000010,GRIN,GRIN PRODUCTO 10
7502000000011,GRIN,GRIN PRODUCTO 11
7502000000012,GRIN,GRIN PRODUCTO 12
7502100000001,GRISI,GRISI PRODUCTO 1
7502100000002,GRISI,GRISI PRODUCTO 2
7502100000003,GRISI,GRISI PRODUCTO 3
7502100000004,GRISI,GRISI PRODUCTO 4
7502100000005,GRISI,GRISI PRODUCTO 5
7502100000006,GRISI,GRISI PRODUCTO 6
7502100000007,GRISI,GRISI PRODUCTO 7
7502100000008,GRISI,GRISI PRODUCTO 8
7502100000009,GRISI,GRISI PRODUCTO 9
7502100000010,GRISI,GRISI PRODUCTO 10
7502200000001,GRUPO BIC,GRUPO BIC PRODUCTO 1
7502200000002,GRUPO BIC,GRUPO BIC PRODUCTO 2
7502200000003,GRUPO BIC,GRUPO BIC PRODUCTO 3
7502300000001,KIMBERLY - CLARK,KIMBERLY PRODUCTO 1
7502300000002,KIMBERLY - CLARK,KIMBERLY PRODUCTO 2
7502400000001,PFIZER,PFIZER PRODUCTO 1
7502400000002,PFIZER,PFIZER PRODUCTO 2
7502500000001,PISA,PISA PRODUCTO 1
7502500000002,PISA,PISA PRODUCTO 2
7502500000003,PISA,PISA PRODUCTO 3
7502500000004,PISA,PISA PRODUCTO 4
7502500000005,PISA,PISA PRODUCTO 5
7502500000006,PISA,PISA PRODUCTO 6
7502500000007,PISA,PISA PRODUCTO 7
7502500000008,PISA,PISA PRODUCTO 8
7502500000009,PISA,PISA PRODUCTO 9
7502500000010,PISA,PISA PRODUCTO 10
7502500000011,PISA,PISA PRODUCTO 11
7502500000012,PISA,PISA PRODUCTO 12
7502500000013,PISA,PISA PRODUCTO 13
7502500000014,PISA,PISA PRODUCTO 14
7502500000015,PISA,PISA PRODUCTO 15
7502500000016,PISA,PISA PRODUCTO 16
7502500000017,PISA,PISA PRODUCTO 17
7502500000018,PISA,PISA PRODUCTO 18
7502500000019,PISA,PISA PRODUCTO 19
7502500000020,PISA,PISA PRODUCTO 20
7502500000021,PISA,PISA PRODUCTO 21
7502500000022,PISA,PISA PRODUCTO 22
7502500000023,PISA,PISA PRODUCTO 23
7502500000024,PISA,PISA PRODUCTO 24
7502600000001,PROCTER,PROCTER PRODUCTO 1
7502600000002,PROCTER,PROCTER PRODUCTO 2
7502600000003,PROCTER,PROCTER PRODUCTO 3
7502600000004,PROCTER,PROCTER PRODUCTO 4
7502600000005,PROCTER,PROCTER PRODUCTO 5
7502600000006,PROCTER,PROCTER PRODUCTO 6
7502600000007,PROCTER,PROCTER PRODUCTO 7
7502600000008,PROCTER,PROCTER PRODUCTO 8
7502600000009,PROCTER,PROCTER PRODUCTO 9
7502600000010,PROCTER,PROCTER PRODUCTO 10
7502600000011,PROCTER,PROCTER PRODUCTO 11
7502600000012,PROCTER,PROCTER PRODUCTO 12
7502600000013,PROCTER,PROCTER PRODUCTO 13
7502600000014,PROCTER,PROCTER PRODUCTO 14
7502600000015,PROCTER,PROCTER PRODUCTO 15
7502600000016,PROCTER,PROCTER PRODUCTO 16
7502600000017,PROCTER,PROCTER PRODUCTO 17
7502600000018,PROCTER,PROCTER PRODUCTO 18
7502600000019,PROCTER,PROCTER PRODUCTO 19
7502600000020,PROCTER,PROCTER PRODUCTO 20
7502600000021,PROCTER,PROCTER PRODUCTO 21
7502600000022,PROCTER,PROCTER PRODUCTO 22
7502600000023,PROCTER,PROCTER PRODUCTO 23
7502600000024,PROCTER,PROCTER PRODUCTO 24
7502600000025,PROCTER,PROCTER PRODUCTO 25
7502600000026,PROCTER,PROCTER PRODUCTO 26
7502600000027,PROCTER,PROCTER PRODUCTO 27
7502600000028,PROCTER,PROCTER PRODUCTO 28
7502600000029,PROCTER,PROCTER PRODUCTO 29
7502600000030,PROCTER,PROCTER PRODUCTO 30
7502600000031,PROCTER,PROCTER PRODUCTO 31
7502600000032,PROCTER,PROCTER PRODUCTO 32
7502600000033,PROCTER,PROCTER PRODUCTO 33
7502600000034,PROCTER,PROCTER PRODUCTO 34
7502600000035,PROCTER,PROCTER PRODUCTO 35
7502600000036,PROCTER,PROCTER PRODUCTO 36
7502600000037,PROCTER,PROCTER PRODUCTO 37
7502600000038,PROCTER,PROCTER PRODUCTO 38
7502600000039,PROCTER,PROCTER PRODUCTO 39
7502600000040,PROCTER,PROCTER PRODUCTO 40
7502600000041,PROCTER,PROCTER PRODUCTO 41
7502600000042,PROCTER,PROCTER PRODUCTO 42
7502600000043,PROCTER,PROCTER PRODUCTO 43
7502600000044,PROCTER,PROCTER PRODUCTO 44
7502600000045,PROCTER,PROCTER PRODUCTO 45
7502600000046,PROCTER,PROCTER PRODUCTO 46
7502600000047,PROCTER,PROCTER PRODUCTO 47
7502600000048,PROCTER,PROCTER PRODUCTO 48
7502600000049,PROCTER,PROCTER PRODUCTO 49
7502600000050,PROCTER,PROCTER PRODUCTO 50
7502600000051,PROCTER,PROCTER PRODUCTO 51
7502600000052,PROCTER,PROCTER PRODUCTO 52
7502600000053,PROCTER,PROCTER PRODUCTO 53
7502700000001,SANFER,SANFER PRODUCTO 1
7502700000002,SANFER,SANFER PRODUCTO 2
7502700000003,SANFER,SANFER PRODUCTO 3
7502700000004,SANFER,SANFER PRODUCTO 4
7502700000005,SANFER,SANFER PRODUCTO 5
7502800000001,SANOFI,SANOFI PRODUCTO 1
7502800000002,SANOFI,SANOFI PRODUCTO 2
7502900000001,SENOSIAIN,SENOSIAIN PRODUCTO 1
7502900000002,SENOSIAIN,SENOSIAIN PRODUCTO 2
7502900000003,SENOSIAIN,SENOSIAIN PRODUCTO 3
7503000000001,SOPHIA,SOPHIA PRODUCTO 1
7503100000001,UNILEVER,UNILEVER PRODUCTO 1
